Condition,Episode,Level,Success,Turns,Actionability,Compliance,IntentAcc,RepairTurns,ReframeEndorse
C1,S_P001_01,Lv1,0,14,0,0,1.0,0,1.0
C1,S_P001_01,Lv1,0,14,5,0,1.0,0,1.0
C1,S_P001_01,Lv1,0,14,5,0,1.0,0,1.0
C1,S_P001_01,Lv1,0,14,4,0,1.0,0,1.0
C1,S_P001_01,Lv1,0,14,0,0,1.0,0,1.0
C1,S_P001_01,Lv1,0,14,0,0,1.0,0,1.0
C1,S_P001_01,Lv1,0,14,0,0,1.0,0,1.0
C1,S_P001_01,Lv1,0,14,0,0,1.0,0,1.0
C1,S_P001_01,Lv1,0,14,0,0,1.0,0,1.0
C1,S_P001_01,Lv1,1,14,2,1,1.0,0,1.0
C1,S_P001_01,Lv1,1,14,5,1,1.0,0,1.0
C1,S_P001_01,Lv1,0,14,0,0,1.0,0,1.0
C1,S_P001_01,Lv1,0,14,5,0,1.0,0,1.0
C1,S_P001_01,Lv1,0,14,5,0,1.0,0,1.0
C1,S_P001_01,Lv1,0,14,4,0,1.0,0,1.0
C1,S_P001_01,Lv1,0,14,0,0,1.0,0,1.0
C1,S_P001_01,Lv1,0,14,0,0,1.0,0,1.0
C1,S_P001_01,Lv1,0,14,0,0,1.0,0,1.0
C1,S_P001_01,Lv1,0,14,0,0,1.0,0,1.0
C1,S_P001_01,Lv1,0,14,0,0,1.0,0,1.0
C1,S_P001_01,Lv1,1,14,2,1,1.0,0,1.0
C1,S_P001_01,Lv1,1,14,5,1,1.0,0,1.0
C1,S_P001_01,Lv1,0,14,0,0,1.0,0,1.0
C1,S_P001_01,Lv1,0,14,5,0,1.0,0,1.0
C1,S_P001_01,Lv1,0,14,5,0,1.0,0,1.0
C1,S_P001_01,Lv1,0,14,4,0,1.0,0,1.0
C1,S_P001_01,Lv1,0,14,0,0,1.0,0,1.0
C1,S_P001_01,Lv1,0,14,0,0,1.0,0,1.0
C1,S_P001_01,Lv1,0,14,0,0,1.0,0,1.0
C1,S_P001_01,Lv1,0,14,0,0,1.0,0,1.0
C1,S_P001_01,Lv1,0,14,0,0,1.0,0,1.0
C1,S_P001_01,Lv1,1,14,2,1,1.0,0,1.0
C1,S_P001_01,Lv1,1,14,5,1,1.0,0,1.0
C1,S_P001_01,Lv1,0,14,0,0,1.0,0,1.0
C1,S_P001_01,Lv1,0,14,5,0,1.0,0,1.0
C1,S_P001_01,Lv1,0,14,5,0,1.0,0,1.0
C1,S_P001_01,Lv1,0,14,4,0,1.0,0,1.0
C1,S_P001_01,Lv1,0,14,0,0,1.0,0,1.0
C1,S_P001_01,Lv1,0,14,0,0,1.0,0,1.0
C1,S_P001_01,Lv1,0,14,0,0,1.0,0,1.0
C1,S_P001_01,Lv1,0,14,0,0,1.0,0,1.0
C1,S_P001_01,Lv1,0,14,0,0,1.0,0,1.0
C1,S_P001_01,Lv1,1,14,2,1,1.0,0,1.0
C1,S_P001_01,Lv1,1,14,5,1,1.0,0,1.0
C1,S_P001_01,Lv1,0,14,0,0,1.0,0,1.0
C1,S_P001_01,Lv1,0,14,5,0,1.0,0,1.0
C1,S_P001_01,Lv1,0,14,5,0,1.0,0,1.0
C1,S_P001_01,Lv1,0,14,4,0,1.0,0,1.0
C1,S_P001_01,Lv1,0,14,0,0,1.0,0,1.0
C1,S_P001_01,Lv1,0,14,0,0,1.0,0,1.0
